Authors,,,,,Publications,,,,,,Publishers,,,Readers,,,,PubAuthors,,,Selling,,
aname,age,affiliation,nationality,,ISBN,title,pdate,category,pid,,pid,pname,,rid,rname,email,,ISBN,aname,,ISBN,rid,quantity
Alice,25,SSRB,Canada,,9781234567897 ,Doors of Sleep,1999-09-15,novel,1,,1,Alice,,1,Gina,ginal@email.com,,9781234567897 ,Alice,,9781234567897 ,4,15
Beckey,30,,France,,9781234567880 ,Composite Creatures,1989-09-08,history,1,,2,Beckey,,2,Hilary,hilary@email.com,,9781234567897 ,Beckey,,9781234567897 ,1,5
Emma,35,Yukimin,Denmark,,9781234567453 ,Twenty Five to Life ,2015-08-09,life,2,,3,Emma,,3,John,john880121@hotmail.com,,9781234567880 ,Alice,,9781234567880 ,3,20
Fiona,45,Usagi,Canada,,9781234565749 ,Forging a Nightmare,2016-03-09,fiction,2,,4,Fiona,,4,Peter,peter0924@yahoo.com.tw,,9781234567880 ,Beckey,,9781234567453 ,7,5
Jason,65,,German,,9781234514235 ,The Phlebotomist,2022-01-05,novel,3,,5,Jason,,5,Steven,steven1105@gmail.com,,9781234567453 ,Alice,,9781234565749 ,5,7
Peter,70,Plusmate,France,,9781234514228 ,Data Mining,2016-09-07,technology,4,,6,Jason,,6,Howhow,Howhow@gmail.com,,9781234567453 ,Beckey,,9781234514235 ,8,10
Sam,22,Usagi,Japan,,9781237654327 ,Communication Principle,2005-07-13,technology,5,,7,Amy,,7,Linda,linda@gmail.com,,9781234567453 ,Emma,,9781234514228 ,4,13
David,20,,Korea,,9791234567896 ,Sofun,2006-01-01,comedy,6,,8,Kid,,8,Jenny,jenny@gmail.com,,9781234565749 ,Beckey,,9781234514228 ,2,7
Bob,40,SSRB,China,,9791234566592 ,Veryfun,2004-02-04,comedy,7,,,,,,,,,9781234565749 ,Emma,,9781237654327 ,3,11
,,,,,9791234566608 ,Sosad,2000-02-03,tragedy,8,,,,,,,,,9781234514235 ,Emma,,9781237654327 ,2,9
,,,,,9791234566615 ,Verylove,2001-04-04,romance,4,,,,,,,,,9781234514235 ,Peter,,9791234567896 ,6,5
,,,,,9791234566622 ,Love,2001-01-02,romance,5,,,,,,,,,9781234514235 ,Jason,,9791234566592 ,1,3
,,,,,9791234566639 ,Sososad,2001-03-04,tragedy,3,,,,,,,,,9781234514228 ,Fiona,,9791234566608 ,5,2
,,,,,,,,,,,,,,,,,,9781237654327 ,Jason,,9791234566615 ,7,1
,,,,,,,,,,,,,,,,,,9791234567896 ,Sam,,9791234566622 ,8,4
,,,,,,,,,,,,,,,,,,9791234566592 ,Sam,,9791234566639 ,6,8
,,,,,,,,,,,,,,,,,,9791234566608 ,David,,,,
,,,,,,,,,,,,,,,,,,9791234566615 ,Bob,,,,
,,,,,,,,,,,,,,,,,,9791234566622 ,Bob,,,,
,,,,,,,,,,,,,,,,,,9791234566639 ,David,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
